name,mse,r2,roc,recall,precission,accurarcy
Lasso,0.4537037037037037,-0.8148148148148149,0.5462962962962963,0.1111111111111111,0.8571428571428571,0.5462962962962963
Enet,0.4351851851851852,-0.7407407407407407,0.5648148148148148,0.12962962962962962,1.0,0.5648148148148148
Loger,0.32407407407407407,-0.2962962962962963,0.6759259259259259,0.3888888888888889,0.9130434782608695,0.6759259259259259
Nearest Neighbors,0.09259259259259259,0.6296296296296297,0.9074074074074074,1.0,0.84375,0.9074074074074074
Linear SVM,0.1111111111111111,0.5555555555555556,0.8888888888888888,0.8703703703703703,0.9038461538461539,0.8888888888888888
RBF SVM,0.1111111111111111,0.5555555555555556,0.8888888888888888,0.7777777777777778,1.0,0.8888888888888888
Gaussian Process,0.027777777777777776,0.8888888888888888,0.9722222222222222,1.0,0.9473684210526315,0.9722222222222222
Decision Tree,0.046296296296296294,0.8148148148148149,0.9537037037037037,0.9444444444444444,0.9622641509433962,0.9537037037037037
Random Forest,0.1111111111111111,0.5555555555555556,0.888888888888889,0.8333333333333334,0.9375,0.8888888888888888
Neural Net,0.05555555555555555,0.7777777777777778,0.9444444444444443,0.9629629629629629,0.9285714285714286,0.9444444444444444
AdaBoost,0.08333333333333333,0.6666666666666667,0.9166666666666666,0.8518518518518519,0.9787234042553191,0.9166666666666666
Naive Bayes,0.09259259259259259,0.6296296296296297,0.9074074074074074,0.8518518518518519,0.9583333333333334,0.9074074074074074
QDA,0.1111111111111111,0.5555555555555556,0.888888888888889,0.8148148148148148,0.9565217391304348,0.8888888888888888
