,roc_mean,roc_std,recall_mean,recall_std,precission_mean,precission_std,accurarcy_mean,accurarcy_std,mse_mean,mse_std,r2_mean,r2_std
0,0.5,0.0,0.0,0.0,0.0,0.0,0.5092592592592593,0.0,0.49074074074074076,0.0,-0.963636363636363,0.0
1,0.550314465408805,0.036402002838962964,0.10062893081761005,0.07280400567792594,0.6666666666666666,0.4714045207910317,0.558641975308642,0.03572789167527844,0.44135802469135804,0.035727891675278484,-0.7660377358490559,0.14296059296756364
2,0.6008576329331047,0.03793104047770808,0.21383647798742142,0.07280400567792594,0.9315476190476191,0.05847286519163246,0.6080246913580246,0.037293351770353596,0.3919753086419753,0.03729335177035361,-0.568439108061749,0.149224581492077
3,0.6452258433390509,0.009056141737323444,0.32075471698113206,0.026683274761756505,0.9125,0.017677669529663678,0.6512345679012346,0.008729713347982107,0.3487654320987654,0.008729713347982055,-0.39554030874785545,0.03493083241539034
4,0.6730703259005146,0.08911605440898723,0.3522012578616352,0.1696948121161263,0.9523809523809524,0.0673435029701474,0.6790123456790124,0.08762388621344684,0.3209876543209877,0.08762388621344684,-0.28439108061749524,0.35061578346265654
5,0.588164665523156,0.059717041280077494,0.18238993710691823,0.11355641563061501,0.9333333333333332,0.09428090415820632,0.5956790123456791,0.05872314071123593,0.40432098765432095,0.05872314071123595,-0.6178387650085757,0.23497314348399856
6,0.6165809033733561,0.011797848619139557,0.24528301886792456,0.026683274761756505,0.9535256410256411,0.03338568374358918,0.6234567901234568,0.011548325267820769,0.37654320987654327,0.011548325267820814,-0.5066895368782156,0.04620914782979821
7,0.7203544882790167,0.011613530806155355,0.45283018867924535,0.015405595866560864,0.9727777777777779,0.019261039803733015,0.7253086419753086,0.011548325267820809,0.27469135802469136,0.011548325267820814,-0.09914236706689494,0.04620914782979821
8,0.7139508290451687,0.04946420195146417,0.43396226415094336,0.09620791535080725,0.9848484848484849,0.02142747821777415,0.7191358024691358,0.04860498687661615,0.28086419753086417,0.04860498687661612,-0.12384219554030833,0.194486643886398
9,0.6573470554602631,0.07465990105623696,0.32075471698113206,0.141194618368828,0.9583333333333334,0.05892556509887896,0.6635802469135802,0.07342825465043408,0.33641975308641975,0.07342825465043407,-0.34614065180102865,0.2938137777847899
10,0.7202401372212693,0.004368599541427763,0.4465408805031446,0.008894424920585502,0.9866666666666667,0.018856180831641284,0.7253086419753086,0.004364856673991053,0.27469135802469136,0.004364856673991027,-0.09914236706689494,0.017465416207695223
