,roc_mean,roc_std,recall_mean,recall_std,precission_mean,precission_std,accurarcy_mean,accurarcy_std,mse_mean,mse_std,r2_mean,r2_std
0,0.6193825042881645,0.0,0.5660377358490566,0.0,0.625,0.0,0.6203703703703703,0.0,0.3796296296296296,5.551115123125783e-17,-0.5190394511149223,0.0
1,0.6248713550600343,0.007762407203420169,0.5345911949685535,0.044472124602927515,0.6481481481481481,0.032736425054932745,0.6265432098765431,0.008729713347982055,0.37345679012345673,0.00872971334798208,-0.49433962264150894,0.03493083241539035
2,0.7499714122355633,0.013514969571999378,0.7484276729559749,0.04706487278960937,0.744506480558325,0.014995465723692838,0.75,0.013094570021973107,0.25,0.013094570021973121,-0.00034305317324142176,0.052396248623085465
3,0.7933104631217839,0.04112657690694173,0.7987421383647799,0.047064872789609365,0.7893544514580025,0.06435457771290809,0.79320987654321,0.041638078898864325,0.20679012345679013,0.041638078898864325,0.17255574614065214,0.166609451895833
4,0.83642081189251,0.05541314686220826,0.8364779874213837,0.0495220621007032,0.8351342371079213,0.07014023997736729,0.8364197530864198,0.05572675952243142,0.16358024691358025,0.05572675952243144,0.3454545454545457,0.22298350705648032
5,0.8730131503716408,0.04541673634554953,0.8490566037735849,0.04075937546168465,0.8897212973239611,0.05633333194992157,0.8734567901234568,0.04557044154393027,0.1265432098765432,0.04557044154393025,0.49365351629502596,0.18234429851403164
6,0.9106346483704976,0.018645710530726445,0.9182389937106917,0.017788849841171003,0.9033067517278043,0.04012961450587531,0.9104938271604938,0.019025969144966015,0.08950617283950617,0.019025969144965977,0.6418524871355061,0.0761299842562206
7,0.9347627215551744,0.0075631793051902626,0.9119496855345912,0.008894424920585502,0.9539869281045751,0.009064018731168483,0.9351851851851851,0.0075601535271085625,0.06481481481481481,0.007560153527108575,0.7406518010291596,0.03025098824706498
8,0.9504859919954258,0.004285495643554861,0.9433962264150942,1.1102230246251565e-16,0.9554910498306725,0.008552331654409145,0.9506172839506174,0.004364856673991053,0.04938271604938271,0.004364856673991033,0.8024013722126929,0.01746541620769517
9,0.9411663807890224,0.01164445304975528,0.9308176100628932,0.017788849841171003,0.9487037195139303,0.009120664490043784,0.9413580246913581,0.011548325267820809,0.05864197530864198,0.011548325267820807,0.7653516295025731,0.04620914782979825
10,0.9439679817038308,0.00016171681673794202,0.9182389937106917,0.008894424920585502,0.9670534880618914,0.00886595137141994,0.9444444444444443,1.1102230246251565e-16,0.05555555555555555,0.0,0.7777015437392797,0.0
