Unnamed: 0,roc_mean,roc_std,recall_mean,recall_std,precission_mean,precission_std,accurarcy_mean,accurarcy_std,mse_mean,mse_std,r2_mean,r2_std
0,0.8972555746140652,0.0,0.8490566037735849,0.0,0.9375,0.0,0.8981481481481483,1.1102230246251563e-16,0.10185185185185183,0.0,0.5924528301886793,0.0
1,0.9042309891366496,0.023803017995898863,0.89937106918239,0.008894424920585502,0.9077605779153766,0.04642780264517707,0.9043209876543208,0.024302493438308058,0.095679012345679,0.024302493438308054,0.6171526586620928,0.097243321943199
2,0.9036592338479132,0.01738512191860403,0.8679245283018867,0.015405595866560862,0.9327777777777778,0.02435590024086997,0.9043209876543208,0.01745942669596411,0.095679012345679,0.017459426695964134,0.6171526586620928,0.06986166483078063
3,0.9289308176100628,0.00833900727433028,0.9245283018867924,0.0266832747617565,0.9326499118165784,0.035555050881226964,0.9290123456790124,0.008729713347982107,0.07098765432098765,0.008729713347982067,0.7159519725557463,0.034930832415390335
4,0.9102915951972554,0.015608605228085281,0.89937106918239,0.008894424920585502,0.9170152821651156,0.022612134865814187,0.9104938271604938,0.0157377145481259,0.08950617283950618,0.015737714548125878,0.6418524871355061,0.06297245368416471
5,0.8795311606632361,0.007563179305190218,0.8742138364779874,0.008894424920585502,0.8797774552491534,0.008428278369706976,0.8796296296296297,0.0075601535271085625,0.12037037037037035,0.007560153527108575,0.5183533447684393,0.030250988247064983
6,0.9162378502001144,0.05322234095550525,0.8930817610062892,0.0759939998339281,0.9348807770802656,0.05135585774087048,0.9166666666666666,0.05292107468976003,0.08333333333333333,0.05292107468976002,0.6665523156089195,0.2117569177294548
7,0.9475700400228702,0.03153146182136179,0.949685534591195,0.035577699682342014,0.9437321937321936,0.030257384946644657,0.9475308641975309,0.031475429096251735,0.052469135802469126,0.03147542909625176,0.7900514579759864,0.12594490736832945
8,0.9197255574614064,0.024323332842237318,0.9182389937106916,0.0495220621007032,0.921320072824108,0.04223178625667984,0.9197530864197532,0.024302493438308058,0.0802469135802469,0.024302493438308058,0.6789022298456263,0.09724332194319904
9,0.9164665523156088,0.034934482083437836,0.9056603773584908,0.055545665825961286,0.9233693477390956,0.031580970957271824,0.9166666666666666,0.03464497580346244,0.08333333333333333,0.034644975803462416,0.6665523156089195,0.13862744348939468
10,0.904459691252144,0.015751209648586388,0.9119496855345912,0.032069305116935745,0.8962466772993088,0.02625881200953156,0.9043209876543208,0.0157377145481259,0.095679012345679,0.015737714548125878,0.6171526586620928,0.06297245368416471
11,0.9630646083476272,0.033158159141676684,0.9685534591194968,0.04447212460292752,0.9560649227315894,0.024437241369662736,0.9629629629629628,0.03295394522231887,0.037037037037037035,0.03295394522231886,0.8518010291595197,0.1318610007111928
12,0.8946826758147512,0.016348802359198798,0.8742138364779874,0.0495220621007032,0.9092970521541952,0.011645486725722276,0.8950617283950617,0.01573771454812586,0.10493827160493824,0.015737714548125878,0.5801029159519727,0.06297245368416471
13,0.9289308176100628,0.011811141349840956,0.9245283018867924,0.04075937546168465,0.9321554672845636,0.027152586414599743,0.9290123456790124,0.011548325267820807,0.07098765432098765,0.011548325267820807,0.7159519725557462,0.04620914782979825
14,0.935448827901658,0.013261518510500857,0.949685534591195,0.023532436394804655,0.9207302131830434,0.00839411572308782,0.9351851851851852,0.013094570021973107,0.06481481481481481,0.013094570021973102,0.7406518010291596,0.05239624862308551
15,0.9413950829045168,0.009056141737323444,0.9433962264150942,0.0266832747617565,0.9377289377289376,0.006475336824052611,0.941358024691358,0.008729713347982055,0.05864197530864197,0.008729713347982069,0.765351629502573,0.034930832415390335
16,0.9909090909090909,0.0,1.0,0.0,0.9814814814814816,0.0,0.9907407407407408,1.1102230246251563e-16,0.009259259259259259,0.0,0.96295025728988,0.0
17,0.9321898227558604,0.045365314388721316,0.9371069182389936,0.047064872789609316,0.928497580385922,0.059859830743577674,0.9320987654320988,0.045570441543930224,0.06790123456790123,0.04557044154393024,0.7283018867924529,0.18234429851403164
18,0.9480274442538592,0.004368599541427815,0.9748427672955976,0.008894424920585502,0.9227082858661806,0.0073924528663688125,0.9475308641975309,0.004364856673991053,0.052469135802469126,0.004364856673991034,0.7900514579759864,0.017465416207695168
19,0.9571183533447684,0.03571077529212808,0.9748427672955976,0.035577699682342014,0.939606381273048,0.037289374647371164,0.95679012345679,0.035727891675278435,0.043209876543209874,0.03572789167527847,0.8271012006861064,0.14296059296756358
20,0.9846197827329902,0.00889442492058545,0.9874213836477987,0.017788849841171003,0.981244064577398,0.0003357582056916517,0.9845679012345676,0.008729713347982055,0.015432098765432096,0.008729713347982067,0.9382504288164664,0.034930832415390335
21,0.9566609491137792,0.028940872428157374,0.949685534591195,0.047064872789609316,0.9614685314685314,0.016714408287654386,0.95679012345679,0.028622279307085524,0.043209876543209874,0.028622279307085507,0.8271012006861064,0.11452839308330882
