,roc_mean,roc_std,recall_mean,recall_std,precission_mean,precission_std,accurarcy_mean,accurarcy_std,mse_mean,mse_std,r2_mean,r2_std
0,0.6288164665523156,0.0,0.5849056603773585,0.0,0.6326530612244898,0.0,0.6296296296296297,0.0,0.3703703703703704,5.551115123125783e-17,-0.48198970840480215,0.0
1,0.7590623213264722,0.11682831267468645,0.7484276729559749,0.14314222234894394,0.7535706252811516,0.11522634536259171,0.7592592592592592,0.1163870841664494,0.24074074074074073,0.11638708416644938,0.03670668953687861,0.46570804449998804
2,0.777815894797027,0.07286015635166199,0.7798742138364781,0.07115539936468407,0.770940170940171,0.07610198047710111,0.7777777777777777,0.07290748031492415,0.22222222222222224,0.07290748031492417,0.11080617495711868,0.291729965829597
3,0.8173241852487134,0.06825220843368991,0.7861635220125787,0.04952206210070326,0.8370662730501005,0.08640154033244028,0.8179012345679012,0.0685991073175706,0.18209876543209877,0.06859910731757059,0.2713550600343056,0.2744905618360697
4,0.8514579759862778,0.025955926926715483,0.8301886792452832,0.015405595866560864,0.8638977603620064,0.038876885157012285,0.8518518518518517,0.026189140043946166,0.14814814814814814,0.026189140043946204,0.40720411663807915,0.10479249724617097
5,0.8974842767295597,0.02016943263487299,0.8616352201257862,0.032069305116935745,0.925782227784731,0.018344992168683565,0.8981481481481483,0.0200022861061971,0.10185185185185185,0.020002286106197097,0.5924528301886794,0.08003659181567163
6,0.8794168096054888,0.022409452380726915,0.8679245283018867,0.015405595866560864,0.8859774212715389,0.036170403759570355,0.8796296296296298,0.022680460581325734,0.12037037037037036,0.022680460581325723,0.5183533447684393,0.09075296474119493
7,0.9254431103487707,0.007843265611789009,0.89937106918239,0.023532436394804658,0.947272498743087,0.00783481384672438,0.9259259259259259,0.0075601535271086085,0.07407407407407407,0.007560153527108575,0.7036020583190395,0.03025098824706498
8,0.9285877644368211,0.004547521743887475,0.9056603773584907,0.0266832747617565,0.948519799483268,0.02255689084447588,0.9290123456790124,0.004364856673991053,0.07098765432098765,0.004364856673991033,0.7159519725557462,0.01746541620769517
9,0.9379073756432247,0.011370026359640836,0.9182389937106917,0.008894424920585502,0.9548427672955975,0.02293796139977318,0.9382716049382717,0.011548325267820809,0.06172839506172839,0.011548325267820805,0.7530017152658663,0.04620914782979825
10,0.9410520297312749,0.008814679172373604,0.9245283018867925,0.015405595866560866,0.9546153846153845,0.008725486937012087,0.941358024691358,0.008729713347982055,0.05864197530864198,0.008729713347982069,0.765351629502573,0.03493083241539034
